5789	358	10613
9297	342	10137
5019	339	3415
7241	769	1828
3274	289	6479
8227	708	4349
5339	912	4797
8230	926	4382
3843	323	5175
4229	817	3356
7758	357	759
6359	289	10345
5824	289	10567
10345	660	5016
7628	640	2771
6587	938	4236
12264	912	4088
9770	448	7572
1395	339	3966
11521	289	12099
12341	77	2196
9698	298	10899
7850	34	1828
1989	125	434
2233	351	3419
5795	125	271
296	289	2235
2871	660	4440
232	342	9831
5608	351	1496
9508	357	1828
11812	34	1828
8454	351	2196
5027	351	2063
8033	351	2948
12308	642	11253
12019	912	1820
3222	642	12307
4498	912	3635
11767	264	85
7808	289	2223
3211	289	618
2002	230	9130
7108	357	1828
6678	448	6591
4208	838	11218
3870	752	1261
10391	358	11736
352	208	1828
12356	289	11723
497	817	8641
10755	926	2902
2233	298	378
7024	912	8641
7930	351	2953
12288	289	9484
10636	34	1828
1394	352	2050
4634	289	4409
3166	351	2948
9456	351	614
3346	289	6076
7516	912	8641
1299	298	3212
8076	912	2720
5303	351	1914
2886	640	6089
10874	660	5268
7242	351	1828
7790	289	627
7050	642	11705
5763	912	4797
7564	469	4613
2135	779	2639
2089	352	4108
3343	125	449
4096	351	1828
2087	352	2412
4370	640	5051
2317	419	3369
6683	351	2189
157	448	9597
4600	351	1483
200	448	5066
4438	351	2050
5940	352	3973
4454	912	9352
11830	243	12064
6293	352	710
6644	912	1820
6896	289	10314
2612	809	3650
5299	351	4117
9496	351	1828
1261	779	2855
3608	779	975
12114	351	2895
10486	351	1828
1805	150	4233
8282	493	999
11494	635	12226
2987	342	11861
2381	912	1820
10850	351	1828
11892	34	1829
563	926	1828
12172	77	2682
227	448	2638
4774	298	2055
6525	351	1828
2477	352	2416
2589	352	2920
9339	313	3358
1779	357	1949
648	34	1829
5523	289	12245
3999	817	2717
5260	289	5706
5088	62	1027
3615	448	32
11023	817	1820
9576	448	2836
8871	352	11345
444	769	759
7823	351	1829
913	779	4061
3709	879	4148
4868	351	4326
1944	879	1894
5997	289	4436
11662	926	2949
3909	912	4287
9229	62	4062
7790	289	527
4953	115	2670
7528	352	1236
5809	342	9228
9291	448	8563
12164	448	1686
3746	448	32
386	289	2125
11432	448	172
7138	77	2196
7427	351	1882
12249	351	3194
9907	289	11591
527	351	1828
1308	448	2915
5521	351	3449
8548	289	10458
8720	34	1828
415	358	106
6625	817	1820
8482	448	294
3646	125	452
10816	912	3582
2316	912	3635
79	125	270
7302	351	759
9418	77	3449
12170	351	1270
11517	351	7860
3079	298	6109
3032	2	3054
9592	34	1450
11917	448	11012
9482	448	5859
1806	642	5653
7824	289	2773
7877	204	2754
8188	351	4117
747	98	11907
6020	640	666
1914	879	1910
3638	289	9289
6587	938	9438
9794	208	2936
354	289	9943
10009	289	7535
3717	298	11098
2701	204	5028
12176	448	1488
8270	692	3634
394	342	9807
5526	342	11961
7252	351	2063
10197	351	1829
11339	782	6883
9646	817	7130
12285	289	10872
4836	750	773
3872	683	998
6252	351	2050
1337	926	3022
1829	635	2412
8108	351	2754
4236	912	5586
9106	77	1901
233	342	11251
10239	289	9112
6477	351	4117
11531	640	4454
2002	208	2753
877	339	1903
9822	351	4924
8945	180	2159
8439	448	2267
9066	351	1106
8366	351	3785
